title,emulator,download_link
"2 Games in One! - Gauntlet + Rampart (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%20One%21%20-%20Gauntlet%20%2B%20Rampart%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in One! - Marble Madness + Klax (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%20One%21%20-%20Marble%20Madness%20%2B%20Klax%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in One! - Paperboy + Rampage (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%20One%21%20-%20Paperboy%20%2B%20Rampage%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 Games in One! - Spy Hunter + Super Sprint (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20Games%20in%20One%21%20-%20Spy%20Hunter%20%2B%20Super%20Sprint%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 in 1 - Asterix & Obelix - Bash Them All! + Asterix & Obelix XXL (Europe) (En Fr De Es It Nl)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20in%201%20-%20Asterix%20%26%20Obelix%20-%20Bash%20Them%20All%21%20%2B%20Asterix%20%26%20Obelix%20XXL%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CNl%29.zip"
"2 in 1 - V-Rally 3 + Stuntman (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20in%201%20-%20V-Rally%203%20%2B%20Stuntman%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 in 1 Game Pack - Shrek 2 & Shark Tale (Europe) (En Fr De Es It Sv+En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20in%201%20Game%20Pack%20-%20Shrek%202%20%26%20Shark%20Tale%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%2CSv%2BEn%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 in 1 Game Pack - Spider-Man & Spider-Man 2 (Europe) (En Fr De+En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20in%201%20Game%20Pack%20-%20Spider-Man%20%26%20Spider-Man%202%20%28Europe%29%20%28En%2CFr%2CDe%2BEn%2CFr%2CDe%2CEs%2CIt%29.zip"
"2 in 1 Game Pack - Spider-Man + Spider-Man 2 (USA) (En Fr De+En Fr De Es)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2%20in%201%20Game%20Pack%20-%20Spider-Man%20%2B%20Spider-Man%202%20%28USA%29%20%28En%2CFr%2CDe%2BEn%2CFr%2CDe%2CEs%29.zip"
"2006 FIFA World Cup - Germany 2006 (USA  Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/2006%20FIFA%20World%20Cup%20-%20Germany%202006%20%28USA%2C%20Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"3 Games in One! - Breakout + Centipede + Warlords (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/3%20Games%20in%20One%21%20-%20Breakout%20%2B%20Centipede%20%2B%20Warlords%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"3 Games in One! - Super Breakout + Millipede + Lunar Lander (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/3%20Games%20in%20One%21%20-%20Super%20Breakout%20%2B%20Millipede%20%2B%20Lunar%20Lander%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"3 Games in One! - Yars' Revenge + Asteroids + Pong (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/3%20Games%20in%20One%21%20-%20Yars%27%20Revenge%20%2B%20Asteroids%20%2B%20Pong%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"4 Games on One Game Pak (Racing) (USA) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/4%20Games%20on%20One%20Game%20Pak%20%28Racing%29%20%28USA%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
"ATV - Quad Power Racing (Europe) (En Fr De Es It) (Rev 1)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/ATV%20-%20Quad%20Power%20Racing%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29%20%28Rev%201%29.zip"
"ATV - Thunder Ridge Riders (Europe) (En Fr De Es It)","gba","https://myrient.erista.me/files/No-Intro/Nintendo%20-%20Game%20Boy%20Advance/ATV%20-%20Thunder%20Ridge%20Riders%20%28Europe%29%20%28En%2CFr%2CDe%2CEs%2CIt%29.zip"
